Actor1Geo_CountryCode,MonthYear,NumMentions,goldstein * num_mentions,avgtone * num_mentions,avg_goldstein,avg_avgtone
MV,201705.0,8593.0,9574.199999999999,-10772.869456465176,1.1141859653206097,-1.2536796760694957
NP,201705.0,52127.0,53825.5,-71802.26412056567,1.0325838816736048,-1.3774486181933676
PK,201705.0,478886.0,-293998.8000000001,-1654149.718300948,-0.6139223113642915,-3.4541617802586586
SF,201705.0,307407.0,88315.40000000002,-658842.5919214145,0.28729144098865683,-2.1432257298025563
SO,201705.0,87427.0,-87808.29999999999,-344343.2711208832,-1.0043613529001336,-3.9386376190522743
TX,201705.0,8112.0,15324.099999999999,3425.5155751867283,1.8890655818540432,0.4222775610437288
UG,201705.0,86773.0,50258.6,-235690.85120761828,0.5791962937780185,-2.7161772810392435
UP,201705.0,85371.0,-2119.200000000003,-207343.4571105719,-0.024823417788241944,-2.4287340796121857
UV,201705.0,6312.0,7855.8,-7033.122581594165,1.2445817490494298,-1.1142462898596586
AU,201705.0,47763.0,51080.89999999999,-73259.51776006962,1.069465904570483,-1.5338131557915042
BB,201705.0,14646.0,19249.899999999998,-11465.332279193433,1.3143452137102278,-0.7828302798848445
BO,201705.0,29822.0,46636.6,-18062.188630045897,1.5638320702836832,-0.6056665760192441
EZ,201705.0,34417.0,45128.5,-54757.13757187123,1.3112270099078944,-1.5909910094392663
FJ,201705.0,30395.0,49755.700000000004,2027.752025637477,1.6369698963645338,0.06671334185351133
GL,201705.0,4794.0,1638.7,-7909.618335332842,0.34182311222361283,-1.649899527603847
JO,201705.0,63258.0,39522.09999999999,-126326.56685142302,0.6247763128774225,-1.997005388273784
MI,201705.0,29464.0,26955.299999999996,-48503.60183043609,0.914855416779799,-1.6461988131426857
MO,201705.0,28159.0,16353.300000000003,-55133.43899022063,0.5807486061294791,-1.957933129380327
MP,201705.0,11210.0,25101.399999999994,5284.725785022922,2.239197145405887,0.47142959723665673
