,GlobalEventID,Day,MonthYear,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_CountryCode,Actor1Geo_Fullname,goldstein * num_mentions,avgtone * num_mentions
4606,752758300,20180503.0,201805.0,1.9,2.0,1.0,2.0,-3.23529411764706,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",3.8,-6.47058823529412
4627,752760993,20180503.0,201805.0,3.5,2.0,1.0,2.0,2.4064171122994598,16.45,120.55,RP,"Philippine, Benguet, Philippines",7.0,4.8128342245989195
4648,752763952,20180503.0,201805.0,-2.0,2.0,1.0,2.0,-6.211180124223599,15.8334,120.37799999999999,RP,"Malaca, Pangasinan, Philippines",-4.0,-12.422360248447198
4806,752788838,20180503.0,201805.0,-10.0,4.0,1.0,4.0,-3.6649214659685896,9.307,123.307,RP,"Dumaguete, Dumaguete, Philippines",-40.0,-14.659685863874358
4811,752789070,20180503.0,201805.0,7.4,1.0,1.0,1.0,-4.481132075471701,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",7.4,-4.481132075471701
5085,752833997,20180503.0,201805.0,3.5,2.0,1.0,2.0,3.7220843672456496,13.0,122.0,RP,Philippines,7.0,7.444168734491299
5105,752841395,20180503.0,201805.0,0.0,10.0,1.0,10.0,0.446428571428572,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",0.0,4.46428571428572
5164,752850554,20180503.0,201805.0,1.0,16.0,1.0,10.0,-2.3255813953488396,16.45,120.55,RP,"Philippine, Benguet, Philippines",16.0,-37.20930232558143
5230,752863248,20180503.0,201805.0,2.8,8.0,1.0,8.0,-0.121065375302665,14.505,121.005,RP,"Ninoy Aquino International Airport, Pasay, Philippines",22.4,-0.96852300242132
5262,752866783,20180503.0,201805.0,3.0,10.0,1.0,10.0,-3.81471389645776,16.45,120.55,RP,"Philippine, Benguet, Philippines",30.0,-38.1471389645776
